Day,#Case
1-22-2020,0
1-23-2020,0
1-24-2020,0
1-25-2020,0
1-26-2020,0
1-27-2020,0
1-28-2020,0
1-29-2020,0
1-30-2020,0
1-31-2020,0
2-1-2020,0
2-2-2020,0
2-3-2020,0
2-4-2020,0
2-5-2020,0
2-6-2020,0
2-7-2020,0
2-8-2020,0
2-9-2020,0
2-10-2020,0
2-11-2020,0
2-12-2020,0
2-13-2020,0
2-14-2020,0
2-15-2020,0
2-16-2020,0
2-17-2020,0
2-18-2020,0
2-19-2020,0
2-20-2020,0
2-21-2020,0
2-22-2020,0
2-23-2020,0
2-24-2020,0
2-25-2020,0
2-26-2020,0
2-27-2020,0
2-28-2020,0
2-29-2020,0
3-1-2020,0
3-2-2020,0
3-3-2020,1
3-4-2020,1
3-5-2020,1
3-6-2020,2
3-7-2020,8
3-8-2020,12
3-9-2020,12
3-10-2020,17
3-11-2020,19
3-12-2020,19
3-13-2020,31
3-14-2020,34
3-15-2020,45
3-16-2020,56
3-17-2020,68
3-18-2020,79
3-19-2020,97
3-20-2020,128
3-21-2020,158
3-22-2020,266
3-23-2020,301
3-24-2020,387
3-25-2020,387
3-26-2020,502
3-27-2020,589
3-28-2020,690
3-29-2020,745
3-30-2020,820
3-31-2020,1054
4-1-2020,1054
4-2-2020,1133
4-3-2020,1265
4-4-2020,1451
4-5-2020,1451
4-6-2020,1554
4-7-2020,1628
4-8-2020,1715
4-9-2020,1795
4-10-2020,1975
4-11-2020,1975
4-12-2020,2142
4-13-2020,2208
4-14-2020,2277
4-15-2020,2443
4-16-2020,2571
4-17-2020,2669
4-18-2020,2758
4-19-2020,2839
4-20-2020,2941
4-21-2020,3031
4-22-2020,3144
4-23-2020,3435
4-24-2020,3607
4-25-2020,3780
4-26-2020,3892
4-27-2020,4003
4-28-2020,4127
4-29-2020,4285
4-30-2020,4428
5-1-2020,4532
5-2-2020,4681
